city,state,lat,lng
Koliganek,AK,59.6971,-157.2258
Kongiganak,AK,59.958,-162.8831
Kotlik,AK,63.0305,-163.553
Kotzebue,AK,66.8766,-162.5231
Koyuk,AK,64.9411,-161.1454
Koyukuk,AK,64.9008,-157.6946
Kupreanof,AK,56.8089,-132.9889
Kwethluk,AK,60.7978,-161.4147
Kwigillingok,AK,59.8767,-163.1717
Lake Louise,AK,62.3131,-146.5625
Lake Minchumina,AK,63.798,-152.3448
Larsen Bay,AK,57.5404,-154.0056
Lazy Mountain,AK,61.6516,-148.902
Levelock,AK,59.0683,-156.901
Lime Village,AK,61.327,-155.3181
Livengood,AK,65.4817,-148.4171
Lowell Point,AK,60.0629,-149.4898
Lower Kalskag,AK,61.5163,-160.3556
Lutak,AK,59.3997,-135.6314
Manley Hot Springs,AK,65.0187,-150.6453
Manokotak,AK,58.893,-158.9109
Marshall,AK,61.8753,-162.0488
McGrath,AK,62.9424,-155.563
Meadow Lakes,AK,61.638,-149.608
Mekoryuk,AK,60.3704,-166.267
Mendeltna,AK,62.1359,-146.5388
Mentasta Lake,AK,62.9867,-143.5191
Metlakatla,AK,55.1182,-131.5689
Minto,AK,65.1033,-149.5565
Moose Creek,AK,64.714,-147.1639
Moose Pass,AK,60.4997,-149.4464
Mosquito Lake,AK,59.471,-136.1458
Mountain Village,AK,62.0911,-163.7209
Mud Bay,AK,59.1517,-135.3584
Naknek,AK,58.7847,-156.8967
Nanwalek,AK,59.3302,-151.911
Napakiak,AK,60.6923,-161.9822
Napaskiak,AK,60.7018,-161.7616
Naukati Bay,AK,55.8801,-133.1993
Nelchina,AK,61.9989,-146.8112
Nelson Lagoon,AK,55.8451,-161.6103
Nenana,AK,64.5384,-149.0859
New Stuyahok,AK,59.4762,-157.271
Newhalen,AK,59.727,-154.897
Newtok,AK,60.9341,-164.6385
Nightmute,AK,60.4874,-164.8195
Nikiski,AK,60.7152,-151.2317
Nikolaevsk,AK,59.8295,-151.5964
Nikolai,AK,63.0095,-154.3763
Nikolski,AK,53.0133,-168.7536
Ninilchik,AK,60.0745,-151.3843
Noatak,AK,67.5987,-163.0309
Nome,AK,64.5213,-165.4053
Nondalton,AK,59.9711,-154.8627
Noorvik,AK,66.8292,-161.0376
North Pole,AK,64.753,-147.36
Northway,AK,62.9479,-141.8322
Nuiqsut,AK,70.2135,-150.9897
Nulato,AK,64.7052,-158.2383
Nunam Iqua,AK,62.511,-164.8998
Nunapitchuk,AK,60.8772,-162.4615
Old Harbor,AK,57.2169,-153.3252
Oscarville,AK,60.7288,-161.7728
Ouzinkie,AK,57.9222,-152.4674
Palmer,AK,61.5971,-149.1147
Pedro Bay,AK,59.7822,-154.1236
Pelican,AK,57.9577,-136.2177
Perryville,AK,55.9315,-159.1559
Petersburg,AK,56.7566,-132.8727
Pilot Point,AK,57.5585,-157.6798
Pilot Station,AK,61.9422,-162.8828
Pitkas Point,AK,62.0374,-163.2681
Platinum,AK,58.978,-161.7185
Pleasant Valley,AK,64.8855,-146.8986
Point Hope,AK,68.3445,-166.6738
Point Lay,AK,69.7442,-162.8678
Point MacKenzie,AK,61.3463,-150.0787
Port Alexander,AK,56.2346,-134.6532
Port Alsworth,AK,60.1688,-154.3233
Port Clarence,AK,65.1108,-166.7683
Port Graham,AK,59.34,-151.8464
Port Heiden,AK,56.9426,-158.6047
Port Lions,AK,57.8754,-152.8745
Port Protection,AK,56.3293,-133.594
Primrose,AK,60.3497,-149.3199
Prudhoe Bay,AK,70.3128,-148.6955
Quinhagak,AK,59.7511,-161.8993
Rampart,AK,65.4087,-149.9915
Red Devil,AK,61.7735,-157.346
Red Dog Mine,AK,68.0645,-162.8667
Ridgeway,AK,60.5305,-151.0301
Ruby,AK,64.7233,-155.5006
Russian Mission,AK,61.7825,-161.3567
Salamatof,AK,60.6154,-151.3159
Salcha,AK,64.5272,-146.904
Sand Point,AK,55.3227,-160.4834
Savoonga,AK,63.6797,-170.4831
Saxman,AK,55.3232,-131.589
Scammon Bay,AK,61.842,-165.5833
Selawik,AK,66.5988,-159.9995
Seldovia,AK,59.4396,-151.7111
Seldovia Village,AK,59.453,-151.5905
Seward,AK,60.1124,-149.3925
Shageluk,AK,62.6684,-159.563
Shaktoolik,AK,64.3567,-161.1972
Shishmaref,AK,66.2372,-166.1027
Shungnak,AK,66.8805,-157.1499
Silver Springs,AK,62.0193,-145.3584
Sitka,AK,57.2401,-135.3153
